DATA_YEAR,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,HUMAN_TRAFFICKING,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT
2013,County,MO,Missouri,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,6
2013,County,OH,Ohio,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2013,County,OH,Ohio,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,1
2013,City,TN,Tennessee,"HAMBLEN, JEFFERSON",South,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2013,City,TN,Tennessee,SHELBY,South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,3
2013,City,WA,Washington,KING,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,2
2014,City,AK,Alaska,ANCHORAGE,West,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,2
2014,State Police,AK,Alaska,NOT SPECIFIED,West,8A,"Non-MSA counties 100,000 or over",1,Commercial Sex Acts,9
2014,City,AZ,Arizona,MARICOPA,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,2
2014,City,AZ,Arizona,MARICOPA,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,City,AZ,Arizona,MARICOPA,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,6
2014,City,AZ,Arizona,MARICOPA,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,3
2014,City,AZ,Arizona,MARICOPA,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,3
2014,City,AZ,Arizona,PIMA,West,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,1
2014,City,CO,Colorado,"ADAMS, ARAPAHOE, DOUGLAS",West,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,3
2014,County,CO,Colorado,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,2
2014,County,CO,Colorado,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",1,Involuntary Servitude,2
2014,County,CO,Colorado,JEFFERSON,West,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2014,City,CO,Colorado,JEFFERSON,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,City,CO,Colorado,WELD,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,4
2014,City,FL,Florida,BREVARD,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,County,FL,Florida,COLLIER,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,12
2014,County,FL,Florida,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,4
2014,County,FL,Florida,INDIAN RIVER,South,9B,"MSA counties from 25,000 thru 99,999",1,Involuntary Servitude,3
2014,County,FL,Florida,LEE,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2014,City,FL,Florida,LEON,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,County,FL,Florida,MANATEE,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2014,County,FL,Florida,ORANGE,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,5
2014,City,FL,Florida,ORANGE,South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,1
2014,County,FL,Florida,OSCEOLA,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,4
2014,City,FL,Florida,PINELLAS,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,25
2014,City,FL,Florida,PINELLAS,South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,1
2014,City,FL,Florida,SARASOTA,South,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2014,City,HI,Hawaii,HONOLULU,West,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,1
2014,City,IL,Illinois,CASS,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,3
2014,City,IL,Illinois,COOK,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,IL,Illinois,COOK,Midwest,7,"Cities under 2,500",1,Commercial Sex Acts,1
2014,City,IL,Illinois,COOK,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,9
2014,City,IL,Illinois,COOK,Midwest,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,9
2014,Other,IL,Illinois,COOK,Midwest,9D,"MSA counties under 10,000",1,Involuntary Servitude,1
2014,City,IL,Illinois,DUPAGE,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,5
2014,City,IL,Illinois,DUPAGE,Midwest,5,"Cities from 10,000 thru 24,999",1,Involuntary Servitude,2
2014,City,IL,Illinois,KNOX,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2014,City,IL,Illinois,MCHENRY,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,2
2014,City,IL,Illinois,MCHENRY,Midwest,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,2
2014,County,IL,Illinois,MADISON,Midwest,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,2
2014,City,IL,Illinois,MADISON,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2014,County,IL,Illinois,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,County,IL,Illinois,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,1
2014,City,IL,Illinois,ROCK ISLAND,Midwest,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,1
2014,City,IL,Illinois,ST CLAIR,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,3
2014,City,IL,Illinois,ST CLAIR,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,IL,Illinois,ST CLAIR,Midwest,5,"Cities from 10,000 thru 24,999",1,Involuntary Servitude,1
2014,State Police,IL,Illinois,SANGAMON,Midwest,9D,"MSA counties under 10,000",1,Commercial Sex Acts,8
2014,City,IL,Illinois,WILLIAMSON,Midwest,7,"Cities under 2,500",1,Commercial Sex Acts,1
2014,City,IL,Illinois,COOK,Midwest,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,14
2014,City,IL,Illinois,COOK,Midwest,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,2
2014,City,MI,Michigan,KALAMAZOO,Midwest,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2014,City,MN,Minnesota,CLAY,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,3
2014,City,MN,Minnesota,COTTONWOOD,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
